code,name,coins,spent,last_daily
kef_ne_zashel,Максим Н.,631,2170,2026-06-10 12:32:34.619+00
koroleva_kefov,Екатерина Ж.,1135,400,
minus_na_pivo,Евгений П.,1000,0,
minus1000,Дмитрий Н.,863,645,2026-06-10 07:43:56.72+00
ne_stavlyu_no,Ирина А.,965,200,
popan_goda,Иван М.,22,1715,2026-06-10 13:13:29.61+00
prodam_prognoz,Андрей Л.,3,15445,2026-06-10 12:49:47.466+00
saas_cashout,Саас,8,2855,2026-06-10 11:09:30.007+00
stavka_na_h2h,Никита К.,990,0,
ya_tochno_znayu,Илья Б.,1000,0,
